Title,Address,Description,Price,Date,Sellers
4 bedroom detached house for sale,"Highfield Road, Chislehurst","GUIDE PRICE £800,000-£850,000 Situated on a private crescent road in a leafy part of Chislehurst, an attractive Georgian style four bedroom detached house with an additional reception room.","£800,000",Reduced on 17/04/2020,"Kinleigh Folkard & Hayward - Sales, Chislehurst"
5 bedroom apartment for sale,"Mayfair, London",Stunning 5 bedroom penthouse apartment in Mayfair for private sale,"£55,000,000",Added on 18/12/2019,"Maritime Properties Ltd, Greenwich"
7 bedroom semi-detached house for sale,"Walton Street, Knightsbridge, London, SW3","A 7 bedroom converted church for sale in Knightsbridge St Saviours is a unique Grade II listed historical building that has been converted into an extraordinary modern seven bedroom home. The property benefits from a vaulted ceiling, original stone pillars, beautiful views and parking for three ...","£44,000,000",Added on 03/04/2020,"Knight Frank, Belgravia, covering Westminster"
10 bedroom detached house for sale,"Merton Lane, London, N6","Located on a sought-after road in the heart of Highgate and occupying a two-acre site, a bespoke family home with the accommodation predominantly arranged over three floors with the benefit of a substantial, self-contained staff lodge. The luxurious entrance hall of this stunning home has a glass...",POA,Added on 22/10/2019,"'s International Realty, London"
6 bedroom house for sale,"South Street, Mayfair W1K","Considered to be the archetypical London mansion, this exceptional Mayfair mansion sits in the heart of central London. In excess of 8,300 sq ft, the sensitive modernisation of the six-bedroom townhouse included the creation of a wellness suite on the lower ground floor, complete with swimming pool.","£40,000,000",Added on 14/02/2020,"Rokstone, London"
10 bedroom detached house for sale,"Merton Lane, London, N6","Exceptional Contemporary Mansion in Highgate Located on a sought after road and occupying a 2 acre site, a bespoke family home with the accommodation predominantly arranged over three floors with the benefit of a substantial, self-contained staff lodge. The luxurious entrance hall of this stun...","£40,000,000",Added on 23/10/2019,"Knight Frank, Hampstead"
7 bedroom detached house for sale,"The Bishops Avenue, Hampstead, London, N2","Known as the ‘Billionaire’s Row’ of London, Barons Court is a stunning property, occupying some 2.55 acres (approximately) on the favored west side of the road.",POA,Added on 23/08/2018,"Savills, Hampstead"
6 bedroom terraced house for sale,"Cadogan Place, Belgravia, London, SW1X",A SPECTACULAR GRADE II LISTED HOUSE REFURBISHED AND INTERIOR DESIGNED TO A VERY HIGH STANDARD AND SPECIFICATION DIRECTLY OVERLOOKING CADOGAN PLACE GARDENS.,"£34,000,000",Added on 09/01/2020,"Savills, Knightsbridge"
6 bedroom apartment for sale,"Wellington Court, Knightsbridge SW1X","Considered to be one of London`s most prestigious penthouse, directly opposite One Hyde Park, this outstanding apartment with direct lift access, comprises of six bedroom suites, spacious reception areas and multiple terraces with direct views overlooking Hyde Park.","£32,500,000",Added on 27/03/2019,"Rokstone, London"
7 bedroom detached house for sale,"Phillimore Gardens, Kensington, London, W8",An elegant detached house overlooking Holland Park for sale in W8 A rarely available detached house with parking on the Phillimore Estate with west facing views over Holland Park. The house has substantial proportions offering impressive reception rooms and a sensible layout of accommodation wit...,POA,Reduced on 22/01/2019,"Knight Frank, Kensington"
7 bedroom detached house for sale,"Phillimore Gardens, Kensington, London","A very special detached seven bedroom family house with off-street parking and a lovely south-west facing garden backing onto Holland Park. This impressive and wide house occupies approximately 6,520 sq ft and is very well arranged over five floors","£30,000,000",Reduced on 22/01/2019,"Strutt & Parker, Kensington"
7 bedroom terraced house for sale,"Eaton Square, Belgravia, London, SW1W","Internally arranged over several floors, this property is a true family home comprised of five bedroom suites. With the ground and first floors dedicated entirely to entertaining, there is a large dining room, functional bar area, open plan kitchen and a bright first floor formal reception room. ...",POA,Added on 15/03/2018,"'s International Realty, London"
10 bedroom detached house for sale,"Upper Phillimore Gardens, Kensington, London, W8","Located on one of London's finest residential addresses, this detached ten bedroom house with lift and garage, has been extensively remodelled and re-designed to the most exacting standards and utilising some of the most luxurious finishes available. Set back from the street, behind its own lands...","£29,950,000",Added on 25/03/2019,"John D Wood & Co. Sales, Kensington"
