Address,Price,Details,Images
"STEELWORKS | 1220 Mecaslin St NW, Atlanta, GA",as per size in the details,"['$1,288+ 1 bd', '$2,025+ 2 bds', '$2,934+ 3 bds']",https://photos.zillowstatic.com/p_e/ISmywqsyv414bj0000000000.jpg
"853 Ponce De Leon Pl NE, Atlanta, GA 30306","$3,600/mo","['3 bds', '2 ba', '1,900 sqft']",NA
"Avana Lenox | 925 Canterbury Rd NE, Atlanta, GA",as per size in the details,"['$1,171+ 1 bd', '$1,488+ 2 bds', '$2,087+ 3 bds']",https://photos.zillowstatic.com/p_e/IS7m4snc19vqt30000000000.jpg
"32Hundred Lenox | 3200 Lenox Rd NE, Atlanta, GA",as per size in the details,"['$1,219+ 1 bd', '$1,499+ 2 bds', '$2,099+ 3 bds']",https://photos.zillowstatic.com/p_e/ISbxvbjhnbss1t1000000000.jpg
"The Aster Buckhead | 2900 Pharr Ct S, Atlanta, GA",as per size in the details,"['$1,320+ 1 bd', '$1,541+ 2 bds']",https://photos.zillowstatic.com/p_e/IS3z7s6geu5z4w0000000000.jpg
"Camden Phipps | 700 Phipps Blvd NE, Atlanta, GA",as per size in the details,"['$1,329+ 1 bd', '$1,749+ 2 bds', '$3,259 3 bds']",https://photos.zillowstatic.com/p_e/IS37ajzgshj5qh1000000000.jpg
"252 Sydney St SE, Atlanta, GA 30312","$3,450/mo","['4 bds', '2 ba', '2,150 sqft']",https://photos.zillowstatic.com/p_e/IS3bt0dvyzt49w0000000000.jpg
"Aspire Westside | 900 Joseph E Lowery Blvd NW, Atlanta, GA",as per size in the details,"['$1,345+ Studio', '$1,520+ 1 bd', '$1,960+ 2 bds']",https://photos.zillowstatic.com/p_e/ISj3ecn15hxalr0000000000.jpg
"Generation | 369 Centennial Olympic Park Dr NW, Atlanta, GA",as per size in the details,"['$1,425 Studio', '$1,510+ 1 bd', '$2,425+ 2 bds']",https://photos.zillowstatic.com/p_e/ISjvzjttrvplbr0000000000.jpg
"Camden Brookwood | 147 26th St NW, Atlanta, GA",as per size in the details,"['$1,229+ Studio', '$1,289+ 1 bd', '$1,839+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Camden Midtown Atlanta | 265 Ponce De Leon Ave NE, Atlanta, GA",as per size in the details,"['$1,259+ Studio', '$1,389+ 1 bd', '$1,949+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Sutton | 2965 Peachtree Rd NW, Atlanta, GA",as per size in the details,"['$4,010+ 2 bds', '$5,325+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Savannah Midtown | 215 North Ave NE, Atlanta, GA",as per size in the details,"['$1,210+ 1 bd', '$1,790+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"516 Fairlane Cir NW, Atlanta, GA 30331","$1,200/mo","['4 bds', '2 ba', '1,065 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Windsor at Midtown | 222 14th St NE, Atlanta, GA",as per size in the details,"['$1,595+ 1 bd', '$2,160+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Uptown Buckhead | 3707 Roswell Rd NE, Atlanta, GA",as per size in the details,"['$1,135+ 1 bd', '$1,560 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Camden Vantage | 180 Jackson St NE, Atlanta, GA",as per size in the details,"['$1,269+ 1 bd', '$1,679+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AMLI Buckhead | 3450 Roxboro Rd NE, Atlanta, GA",as per size in the details,"['$1,452+ 1 bd', '$2,119+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AMLI Lenox | 3478 Lakeside Dr NE, Atlanta, GA",as per size in the details,"['$1,806+ 1 bd', '$2,448+ 2 bds', '$3,894+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AMLI Parkside | 660 Ralph Mcgill Blvd NE, Atlanta, GA",as per size in the details,"['$1,405+ Studio', '$1,525+ 1 bd', '$1,969+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"851 Cardova Dr NE, Atlanta, GA 30324","$2,400/mo","['3 bds', '2 ba', '1,800 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"789 Barnett St NE, Atlanta, GA",as per size in the details,"['$1,500 Studio', '$3,600 4 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"824 Edgewood Ave NE, Atlanta, GA 30307","$1,500/mo","['1 bd', '1 ba', '1,000 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"The Exchange | 470 16th St NW, Atlanta, GA",as per size in the details,"['$1,302+ 1 bd', '$1,553+ 2 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"850 Flat Shoals Way SE, Atlanta, GA 30316","$1,650/mo","['2 bds', '1 ba', '1,050 sqft']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"2059 Howell Mill Rd NW, Atlanta, GA 30318","$4,200/mo","['4 bds', '3.5 ba', '2,697 sqft']",NA
"Piedmont House | 205 12th St NE, Atlanta, GA",as per size in the details,"['$2,449+ 1 bd', '$3,182+ 2 bds', '$7,596+ 3 bds']","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
